File Size (KB), RAM Utilization, Max RAM used (KB), Total RAM available (MB), User CPU time, System CPU time, Total CPU time, CPU time used (seconds), Throughput (bytes/sec), SHA-256 Hash (hex)
10, 0.11, 8548, 7851, 0.032210, 0.006832, 0.000000, 0.001052, 9733840.304183, dd6233b476dfe270f8a3b9abe5e81c1392872242906fd09b65d5b087ff57a7e2
20, 0.11, 8548, 7851, 0.038176, 0.006852, 0.000000, 0.000322, 63602484.472050, b73fafbb7b53a072aa9435f0e065d70cfd56b922146ad8814aa1536df5131f5c
30, 0.11, 8548, 7851, 0.042298, 0.007049, 0.000000, 0.000552, 55652173.913043, 87a80ed76ae76215fb9b0bb72143f120b29d2876b37cf7942c8f43803105867d
40, 0.12, 9304, 7851, 0.047658, 0.007049, 0.000000, 0.000655, 62534351.145038, ca3b0988d94ad8ae8203e02daf94a5fe5bac469f3cb704e3369ca00c0d80fcac
50, 0.12, 9304, 7851, 0.054207, 0.007049, 0.000000, 0.000829, 61761158.021713, e915a45933c9b2e5532c36a8f5f86f8d678eaf08da28ed21ef4cd46a64e0b747
60, 0.12, 9304, 7851, 0.061943, 0.007108, 0.000000, 0.000965, 63668393.782383, c7070adc1466745f3374bcf483d43254586629630e042142c34f63dc6845c203
70, 0.12, 9304, 7851, 0.071076, 0.007108, 0.000000, 0.001205, 59485477.178423, 44ae25adfe4405d79fd5a2e38b9e0defd92e515889aec40314a1882647e90c78
80, 0.12, 9304, 7851, 0.080367, 0.008138, 0.000000, 0.001298, 63112480.739599, eee3a6240f778028bdcb3d0c0984d51fcaa90ab56762ab580f4eadb72c91b684
90, 0.12, 9304, 7851, 0.091882, 0.008167, 0.000000, 0.001452, 63471074.380165, e38febd839cbd7b44672c10ef9f338cbf8613354c885f70de303c353a9599f18
100, 0.12, 9304, 7851, 0.104552, 0.008200, 0.000000, 0.001603, 63880224.578915, afe777873456057ff214b2b4535710ee0f417ce7f0c13380f0ab057c6fb484f5
110, 0.12, 9304, 7851, 0.117575, 0.009122, 0.000000, 0.001756, 64145785.876993, 7452c10a3563a72eb4b9259b12182802b0ea5d2b489553a74d3b32653a3c6f3d
120, 0.12, 9304, 7851, 0.132811, 0.009122, 0.000000, 0.001910, 64335078.534031, 3fd04a6c8f46a8d3d5ac7e5ce995348e6d609fd1fd1da6f1232e9458eacd58ca
130, 0.12, 9400, 7851, 0.149534, 0.009122, 0.000000, 0.002050, 64936585.365854, 73be7b64137595a22d387ef21791eea78478a3cb002231f0526268b974aa452e
140, 0.12, 9400, 7851, 0.166093, 0.011072, 0.000000, 0.002323, 61713301.764959, 7705c30df9f414affc553a2c3f5531dc595c5c2f8c4114f0e1d95b0e178b8a0f
150, 0.12, 9400, 7851, 0.184345, 0.012022, 0.000000, 0.002408, 63787375.415282, 982396bf62699a063bde43fcad28a5502834f7a23261bc14210e37fc8948dc2e
160, 0.12, 9400, 7851, 0.204557, 0.012032, 0.000000, 0.002535, 64631163.708087, 29a35f9d5157d455ad9613bdab12820a116ea3c485af15e9cf53af31d26be419
170, 0.12, 9400, 7851, 0.226120, 0.012059, 0.000000, 0.002790, 62394265.232975, ad18f1c0c40c0cf1f887a4393542514ee91baaeed55f60e9fcc0f84a8977ddc7
180, 0.12, 9400, 7851, 0.248795, 0.012087, 0.000000, 0.002881, 63977785.491149, f8b0b20558f79dab8b58cf53c9ede56b08dfb12077005f4aa5589fe2f3abebd9
190, 0.12, 9400, 7851, 0.273038, 0.012090, 0.000000, 0.003051, 63769255.981645, 89a16363d8a1210834f783315586bf2282479b2167431b91a0adf129d698f089
200, 0.12, 9400, 7851, 0.296538, 0.014073, 0.000000, 0.003216, 63681592.039801, 992743619dc1550e60609180627639063ba24385e3868e18bd9bbfa0fb09cdd6
210, 0.12, 9400, 7851, 0.321213, 0.016060, 0.000000, 0.003345, 64286995.515695, 36f59fbfe76124c0a8c57213428a16a68cafbbd68a50bbc2547900e294a16f28
220, 0.12, 9400, 7851, 0.349173, 0.016060, 0.000000, 0.003537, 63692394.684761, 9a37ad59d40132c2f415fa162bd5d9dae15e481451925791a286ac99167ce752
230, 0.12, 9400, 7851, 0.378200, 0.016093, 0.000000, 0.003644, 64632272.228321, db6a7c047c91cea4c7dbd1ed9c1fa5778388a064ff455eb2453bfa0d8ecd1d0a
240, 0.12, 9400, 7851, 0.408386, 0.016094, 0.000000, 0.003821, 64318241.298090, 615fb67c884d28fb350499be6e81d6e9e201243d87b8718dd49eb079b1300999
250, 0.12, 9400, 7851, 0.439133, 0.017083, 0.000000, 0.004011, 63824482.672650, cc25a176fc9d60f96d77d8bec08828a329c3807398d2f442e33b94561a1bbcdb
260, 0.12, 9660, 7851, 0.470870, 0.018071, 0.000000, 0.004110, 64778588.807786, e4b2cef95ec85d3db1d533dca35a7af15eecf7e1e52a4577c9f17b070a9c481a
270, 0.12, 9660, 7851, 0.504988, 0.018071, 0.000000, 0.004292, 64417520.969245, 461eef5735e58c570f842d8c888fbc9115c5b1bac6e82c8f547c68ed046f4a25
280, 0.12, 9660, 7851, 0.538393, 0.020051, 0.000000, 0.004440, 64576576.576577, c43da072719204cda7fc1adc07c0a6168f6b831edc94bdeac9abcb1bcdac2289
290, 0.12, 9660, 7851, 0.574886, 0.020065, 0.000000, 0.004604, 64500434.404865, 29cb94841fe2ac405e38f4b3a7ddb6c5fe142f1150e047087727649ec26e16e9
300, 0.12, 9660, 7851, 0.612622, 0.020065, 0.000000, 0.004737, 64851171.627612, dc2f0ef6c48fe7efc499dc50ea057b85279c603d71410a01e25366212c4bc218
310, 0.12, 9660, 7851, 0.650516, 0.021016, 0.000000, 0.004889, 64929433.421968, 1143877ced85418eebe36669a4961dd826bf6a0787c614f03a33a3ed7f0da76f
320, 0.12, 9660, 7851, 0.691316, 0.021016, 0.000000, 0.005103, 64213207.916912, fd102eb08bbe2f483eef8bb7738d294433e11ff1b4bfdd1cf6cb5ae3031bb764
330, 0.12, 9660, 7851, 0.732957, 0.021027, 0.000000, 0.005218, 64760444.614795, 6374119fd4e0d4028ca26cd275974f3395b3848761a54242a4c17d97f90e9b74
340, 0.12, 9660, 7851, 0.774783, 0.022022, 0.000000, 0.005346, 65125327.347550, 095750e1e295f030988ae8f44a8c61d54bf3eb924b807b8bc845d2d1318cbbda
350, 0.12, 9660, 7851, 0.817691, 0.023019, 0.000000, 0.005499, 65175486.452082, 92a292555b057151700b0b0e082f6e17ee66207c8f85030b0c092481c03ba244
360, 0.12, 9660, 7851, 0.862905, 0.023024, 0.000000, 0.005674, 64970038.773352, 6a7069026c1faf7222e3b778ac4aae7d59023b6f6e28b415d55184ece72d80ee
370, 0.12, 9660, 7851, 0.907574, 0.024988, 0.000000, 0.005846, 64810126.582278, 603c71815ace03e6475e1b0394fbc9202fb4f0d4a8e419e89524abb16cd0f41e
380, 0.12, 9660, 7851, 0.955228, 0.025005, 0.000000, 0.006071, 64094877.285455, 3a976e422741e19cd50f550227d690e0ae9c1f3c3c97dfc52777401eff04e61d
390, 0.12, 9660, 7851, 1.004592, 0.025039, 1.000000, 0.006199, 64423294.079690, 59b83a9ae2f6856f1fbded670588be03dcadf80ad1882538e933665e83825df0
400, 0.12, 9660, 7851, 1.054668, 0.025039, 1.000000, 0.006264, 65389527.458493, 4ec109eafe1d49ed431e43e2bd2c5ba037290a3b7cf3d111d9fdc175b055d08a
410, 0.12, 9660, 7851, 1.105982, 0.025039, 1.000000, 0.006417, 65426211.625370, 87303578ffc48b5b49023898bc79e229bd334f0fefd8fc193f36f5693de995e8
420, 0.12, 9660, 7851, 1.158711, 0.025039, 1.000000, 0.006650, 64673684.210526, 143c2b18d79be73709f759a8eac62ad5f2a1d22c6db637419ef7334adaa3e0ca
430, 0.12, 9660, 7851, 1.212627, 0.025039, 1.000000, 0.006893, 63879297.838387, b27586af30383e87503cdd922e412eb55cc0d9722016862b9dad1749e07ce268
440, 0.12, 9660, 7851, 1.265916, 0.027019, 1.000000, 0.006961, 64726332.423502, 1a50ecf052e77e3e9ccdcec6125bc8e2874b2295af03a69b4d19d03bee4ce55a
450, 0.12, 9660, 7851, 1.322315, 0.027026, 1.000000, 0.007120, 64719101.123596, f36a4f708b5ee0b24d3b9eb6d65cfe21026932e4675cccaa7b38b87ee2992674
460, 0.12, 9660, 7851, 1.379860, 0.027026, 1.000000, 0.007266, 64827965.868428, d031ee692c8054e1faa69df4a19db11cbb71c25446f916219c42f16ccce24ef7
470, 0.12, 9660, 7851, 1.439110, 0.027026, 1.000000, 0.007500, 64170666.666667, 6c4151f98f66273d19ccd57a08fd9775994f6037923de8c7605be167e8f51c37
480, 0.12, 9660, 7851, 1.498324, 0.028024, 1.000000, 0.007594, 64724782.723203, 9da07347f5ebcccfbe317f266ca004f31c85f891f8f01bf7cd227c46c7008f37
490, 0.12, 9660, 7851, 1.560026, 0.028054, 1.000000, 0.007725, 64952750.809061, 68c86572c036767c26defcb3a32b62538f78eaa9dad7a83e313699400eece19f
500, 0.12, 9660, 7851, 1.620843, 0.030034, 1.000000, 0.008018, 63856323.272637, 9644d95e9d94cfb0df930117192307660c3f8153341e9cb99228d9b3aeadfa76
510, 0.12, 9660, 7851, 1.684744, 0.030034, 1.000000, 0.008022, 65100972.326103, 12e2be9d06874e0ec8ca3496d7cdc97f59454ee5b171dd2f9d17679dc64c2516
520, 0.12, 9660, 7851, 1.749140, 0.031020, 1.000000, 0.008278, 64324716.115004, a8a9d2cc86640a8352ebaa20e87ec5be4f6e6c90963fd27d808a0e8858c9a027
10, 0.11, 8536, 7851, 0.077564, 0.125378, 0.000000, 0.011897, 860721.190216, de93aeabd82c4bbe43a4087a634493eab9bc8f557bebf6ca0d337e8eb6a5c273
20, 0.11, 8536, 7851, 0.097594, 0.136422, 0.000000, 0.000334, 61317365.269461, dab5e47cfbe1a7eed7b2211ffb19c8df9e6d84996d801d6ee1a3cca6f9ed0bff
30, 0.11, 8536, 7851, 0.101595, 0.137206, 0.000000, 0.000522, 58850574.712644, 90a203eab8513f42c173ebc709a1bf85d19d18c0b37b9b791e3d3ada019e0e9c
40, 0.12, 9288, 7851, 0.107197, 0.137675, 0.000000, 0.000662, 61873111.782477, f60397a59685ca93e929052541feae5e73b011922b3a0e1c1941da687efa45a6
50, 0.12, 9288, 7851, 0.113683, 0.137894, 0.000000, 0.000838, 61097852.028640, 44b52d8455c3e623da345d4dcb57bffa0a7ecd313c92eeb5e14524b84413f622
60, 0.12, 9288, 7851, 0.121425, 0.138173, 0.000000, 0.000958, 64133611.691023, 756fa0214f9a81fe6a3344cc46d4a4c6af63fb778034b2c46d1786b2bbf42d80
